7064535
1000, 1000
(34, 0), (34, 10000)
(34, 0), (9993.5, 0)
(34, 10000), (34.5, 10000)
(34.5, 0.5), (34.5, 10000)
(34.5, 0.5), (63, 0.5)
(63, 0.5), (63, 10000)
(63, 10000), (63.5, 10000)
(63.5, 0.5), (63.5, 10000)
(63.5, 0.5), (82, 0.5)
(82, 0.5), (82, 10000)
(82, 10000), (85, 10000)
(85, 0.5), (85, 10000)
(85, 0.5), (181, 0.5)
(181, 0.5), (181, 10000)
(181, 10000), (183, 10000)
(183, 0.5), (183, 10000)
(183, 0.5), (201, 0.5)
(201, 0.5), (201, 10000)
(201, 10000), (201.5, 10000)
(201.5, 0.5), (201.5, 10000)
(201.5, 0.5), (223, 0.5)
(223, 0.5), (223, 10000)
(223, 10000), (224, 10000)
(224, 0.5), (224, 10000)
(224, 0.5), (231, 0.5)
(231, 0.5), (231, 10000)
(231, 10000), (233, 10000)
(233, 0.5), (233, 10000)
(233, 0.5), (340, 0.5)
(340, 0.5), (340, 10000)
(340, 10000), (341, 10000)
(341, 0.5), (341, 10000)
(341, 0.5), (383, 0.5)
(383, 0.5), (383, 10000)
(383, 10000), (383.5, 10000)
(383.5, 0.5), (383.5, 10000)
(383.5, 0.5), (445, 0.5)
(445, 0.5), (445, 10000)
(445, 10000), (445.5, 10000)
(445.5, 0.5), (445.5, 10000)
(445.5, 0.5), (475, 0.5)
(475, 0.5), (475, 10000)
(475, 10000), (476, 10000)
(476, 0.5), (476, 10000)
(476, 0.5), (504, 0.5)
(504, 0.5), (504, 10000)
(504, 10000), (508, 10000)
(508, 0.5), (508, 10000)
(508, 0.5), (537, 0.5)
(537, 0.5), (537, 10000)
(537, 10000), (537.5, 10000)
(537.5, 0.5), (537.5, 10000)
(537.5, 0.5), (546, 0.5)
(546, 0.5), (546, 10000)
(546, 10000), (546.5, 10000)
(546.5, 0.5), (546.5, 10000)
(546.5, 0.5), (555, 0.5)
(555, 0.5), (555, 10000)
(555, 10000), (555.5, 10000)
(555.5, 0.5), (555.5, 10000)
(555.5, 0.5), (580, 0.5)
(580, 0.5), (580, 10000)
(580, 10000), (581, 10000)
(581, 0.5), (581, 10000)
(581, 0.5), (667, 0.5)
(667, 0.5), (667, 10000)
(667, 10000), (670, 10000)
(670, 0.5), (670, 10000)
(670, 0.5), (689, 0.5)
(689, 0.5), (689, 10000)
(689, 10000), (690, 10000)
