89252345
1000, 1000
(0, 0), (0, 10000)
(0, 0), (10000, 0)
(0, 10000), (14, 10000)
(14, 0.5), (14, 10000)
(14, 0.5), (16, 0.5)
(16, 0.5), (16, 10000)
(16, 10000), (49, 10000)
(49, 0.5), (49, 10000)
(49, 0.5), (57, 0.5)
(57, 0.5), (57, 10000)
(57, 10000), (88, 10000)
(88, 0.5), (88, 10000)
(88, 0.5), (91, 0.5)
(91, 0.5), (91, 10000)
(91, 10000), (101, 10000)
(101, 0.5), (101, 10000)
(101, 0.5), (103, 0.5)
(103, 0.5), (103, 10000)
(103, 10000), (111, 10000)
(111, 0.5), (111, 10000)
(111, 0.5), (113, 0.5)
(113, 0.5), (113, 10000)
(113, 10000), (126, 10000)
(126, 0.5), (126, 10000)
(126, 0.5), (128, 0.5)
(128, 0.5), (128, 10000)
(128, 10000), (185, 10000)
(185, 0.5), (185, 10000)
(185, 0.5), (187, 0.5)
(187, 0.5), (187, 10000)
(187, 10000), (195, 10000)
(195, 0.5), (195, 10000)
(195, 0.5), (197, 0.5)
(197, 0.5), (197, 10000)
(197, 10000), (224, 10000)
(224, 0.5), (224, 10000)
(224, 0.5), (226, 0.5)
(226, 0.5), (226, 10000)
(226, 10000), (277, 10000)
(277, 0.5), (277, 10000)
(277, 0.5), (279, 0.5)
(279, 0.5), (279, 10000)
(279, 10000), (359, 10000)
(359, 0.5), (359, 10000)
(359, 0.5), (361, 0.5)
(361, 0.5), (361, 10000)
(361, 10000), (472, 10000)
(472, 0.5), (472, 10000)
(472, 0.5), (479, 0.5)
(479, 0.5), (479, 10000)
(479, 10000), (530, 10000)
(530, 0.5), (530, 10000)
(530, 0.5), (537, 0.5)
(537, 0.5), (537, 10000)
(537, 10000), (554, 10000)
(554, 0.5), (554, 10000)
(554, 0.5), (556, 0.5)
(556, 0.5), (556, 10000)
(556, 10000), (557, 10000)
(557, 0.5), (557, 10000)
(557, 0.5), (559, 0.5)
(559, 0.5), (559, 10000)
(559, 10000), (565, 10000)
(565, 0.5), (565, 10000)
(565, 0.5), (570, 0.5)
(570, 0.5), (570, 10000)
(570, 10000), (575, 10000)
(575, 0.5), (575, 10000)
(575, 0.5), (577, 0.5)
(577, 0.5), (577, 10000)
(577, 10000), (623, 10000)
(623, 0.5), (623, 10000)
(623, 0.5), (626, 0.5)
(626, 0.5), (626, 10000)
(626, 10000), (658, 10000)
(658, 0.5), (658, 10000)
(658, 0.5), (660, 0.5)
(660, 0.5), (660, 10000)
(660, 10000), (680, 10000)
(680, 0.5), (680, 10000)
(680, 0.5), (682, 0.5)
(682, 0.5), (682, 10000)
(682, 10000), (707, 10000)
(707, 0.5), (707, 10000)
(707, 0.5), (709, 0.5)
(709, 0.5), (709, 10000)
(709, 10000), (774, 10000)
(774, 0.5), (774, 10000)
(774, 0.5), (776, 0.5)
(776, 0.5), (776, 10000)
(776, 10000), (794, 10000)
(794, 0.5), (794, 10000)
(794, 0.5), (796, 0.5)
(796, 0.5), (796, 10000)
(796, 10000), (800, 10000)
(800, 0.5), (800, 10000)
(800, 0.5), (802, 0.5)
(802, 0.5), (802, 10000)
(802, 10000), (865, 10000)
(865, 0.5), (865, 10000)
(865, 0.5), (867, 0.5)
(867, 0.5), (867, 10000)
(867, 10000), (916, 10000)
(916, 0.5), (916, 10000)
(916, 0.5), (918, 0.5)
(918, 0.5), (918, 10000)
(918, 10000), (941, 10000)
(941, 0.5), (941, 10000)
(941, 0.5), (943, 0.5)
(943, 0.5), (943, 10000)
(943, 10000), (956, 10000)
(956, 0.5), (956, 10000)
(956, 0.5), (958, 0.5)
(958, 0.5), (958, 10000)
(958, 10000), (980, 10000)
(980, 0.5), (980, 10000)
(980, 0.5), (982, 0.5)
(982, 0.5), (982, 10000)
(982, 10000), (988, 10000)
(988, 0.5), (988, 10000)
(988, 0.5), (992, 0.5)
(992, 0.5), (992, 10000)
(992, 10000), (1021, 10000)
(1021, 0.5), (1021, 10000)
(1021, 0.5), (1024, 0.5)
(1024, 0.5), (1024, 10000)
(1024, 10000), (1026, 10000)
(1026, 0.5), (1026, 10000)
(1026, 0.5), (1028, 0.5)
(1028, 0.5), (1028, 10000)
(1028, 10000), (1061, 10000)
(1061, 0.5), (1061, 10000)
(1061, 0.5), (1063, 0.5)
(1063, 0.5), (1063, 10000)
(1063, 10000), (1154, 10000)
(1154, 0.5), (1154, 10000)
(1154, 0.5), (1156, 0.5)
(1156, 0.5), (1156, 10000)
(1156, 10000), (1176, 10000)
(1176, 0.5), (1176, 10000)
(1176, 0.5), (1178, 0.5)
(1178, 0.5), (1178, 10000)
(1178, 10000), (1186, 10000)
(1186, 0.5), (1186, 10000)
(1186, 0.5), (1188, 0.5)
(1188, 0.5), (1188, 10000)
(1188, 10000), (1189, 10000)
(1189, 0.5), (1189, 10000)
(1189, 0.5), (1191, 0.5)
(1191, 0.5), (1191, 10000)
(1191, 10000), (1195, 10000)
(1195, 0.5), (1195, 10000)
(1195, 0.5), (1198, 0.5)
(1198, 0.5), (1198, 10000)
(1198, 10000), (1238, 10000)
(1238, 0.5), (1238, 10000)
(1238, 0.5), (1240, 0.5)
(1240, 0.5), (1240, 10000)
(1240, 10000), (1250, 10000)
(1250, 0.5), (1250, 10000)
(1250, 0.5), (1252, 0.5)
(1252, 0.5), (1252, 10000)
(1252, 10000), (1272, 10000)
(1272, 0.5), (1272, 10000)
(1272, 0.5), (1274, 0.5)
(1274, 0.5), (1274, 10000)
(1274, 10000), (1290, 10000)
(1290, 0.5), (1290, 10000)
(1290, 0.5), (1292, 0.5)
(1292, 0.5), (1292, 10000)
(1292, 10000), (1396, 10000)
(1396, 0.5), (1396, 10000)
(1396, 0.5), (1398, 0.5)
(1398, 0.5), (1398, 10000)
(1398, 10000), (1421, 10000)
(1421, 0.5), (1421, 10000)
(1421, 0.5), (1423, 0.5)
(1423, 0.5), (1423, 10000)
(1423, 10000), (1447, 10000)
(1447, 0.5), (1447, 10000)
(1447, 0.5), (1449, 0.5)
(1449, 0.5), (1449, 10000)
(1449, 10000), (1478, 10000)
(1478, 0.5), (1478, 10000)
(1478, 0.5), (1480, 0.5)
(1480, 0.5), (1480, 10000)
(1480, 10000), (1514, 10000)
(1514, 0.5), (1514, 10000)
(1514, 0.5), (1516, 0.5)
(1516, 0.5), (1516, 10000)
(1516, 10000), (1534, 10000)
(1534, 0.5), (1534, 10000)
(1534, 0.5), (1536, 0.5)
(1536, 0.5), (1536, 10000)
(1536, 10000), (1544, 10000)
(1544, 0.5), (1544, 10000)
(1544, 0.5), (1546, 0.5)
(1546, 0.5), (1546, 10000)
(1546, 10000), (1567, 10000)
(1567, 0.5), (1567, 10000)
(1567, 0.5), (1569, 0.5)
(1569, 0.5), (1569, 10000)
(1569, 10000), (1586, 10000)
(1586, 0.5), (1586, 10000)
(1586, 0.5), (1588, 0.5)
(1588, 0.5), (1588, 10000)
(1588, 10000), (1671, 10000)
